"","sa2_id","sa2_name","state"
"1",1,"Alexandra Hills","Queensland"
"2",2,"Belmont - Gumdale","Queensland"
"3",3,"Birkdale","Queensland"
"4",4,"Capalaba","Queensland"
"5",5,"Thorneside","Queensland"
"6",6,"Wellington Point","Queensland"
"7",7,"Cleveland","Queensland"
"8",8,"Ormiston","Queensland"
"9",9,"Redland Bay","Queensland"
"10",10,"Sheldon - Mount Cotton","Queensland"
"11",11,"Thornlands","Queensland"
"12",12,"Victoria Point","Queensland"
"13",13,"Redland Islands","Queensland"
"14",14,"Manly - Lota","Queensland"
"15",15,"Manly West","Queensland"
"16",16,"Murarrie","Queensland"
"17",17,"Tingalpa","Queensland"
"18",18,"Wakerley","Queensland"
"19",19,"Wynnum","Queensland"
"20",20,"Wynnum West - Hemmant","Queensland"
"21",21,"Bald Hills","Queensland"
"22",22,"Bridgeman Downs","Queensland"
"23",23,"Carseldine","Queensland"
"24",24,"Everton Park","Queensland"
"25",25,"McDowall","Queensland"
"26",26,"Aspley","Queensland"
"27",27,"Chermside","Queensland"
"28",28,"Chermside West","Queensland"
"29",29,"Geebung","Queensland"
"30",30,"Kedron - Gordon Park","Queensland"
"31",31,"Stafford","Queensland"
"32",32,"Stafford Heights","Queensland"
"33",33,"Wavell Heights","Queensland"
"34",34,"Boondall","Queensland"
"35",35,"Eagle Farm - Pinkenba","Queensland"
"36",36,"Northgate - Virginia","Queensland"
"37",37,"Nudgee - Banyo","Queensland"
"38",38,"Nundah","Queensland"
"39",39,"Bracken Ridge","Queensland"
"40",40,"Brighton (Qld)","Queensland"
"41",41,"Deagon","Queensland"
"42",42,"Sandgate - Shorncliffe","Queensland"
"43",43,"Taigum - Fitzgibbon","Queensland"
"44",44,"Zillmere","Queensland"
"45",45,"Camp Hill","Queensland"
"46",46,"Cannon Hill","Queensland"
"47",47,"Carina","Queensland"
"48",48,"Carina Heights","Queensland"
"49",49,"Carindale","Queensland"
"50",50,"Annerley","Queensland"
"51",51,"Coorparoo","Queensland"
"52",52,"Fairfield - Dutton Park","Queensland"
"53",53,"Greenslopes","Queensland"
"54",54,"Holland Park","Queensland"
"55",55,"Holland Park West","Queensland"
"56",56,"Woolloongabba","Queensland"
"57",57,"Yeronga","Queensland"
"58",58,"Eight Mile Plains","Queensland"
"59",59,"Macgregor (Qld)","Queensland"
"60",60,"Mansfield (Qld)","Queensland"
"61",61,"Mount Gravatt","Queensland"
"62",62,"Rochedale - Burbank","Queensland"
"63",63,"Upper Mount Gravatt","Queensland"
"64",64,"Wishart","Queensland"
"65",65,"Coopers Plains","Queensland"
"66",66,"Moorooka","Queensland"
"67",67,"Robertson","Queensland"
"68",68,"Salisbury - Nathan","Queensland"
"69",69,"Tarragindi","Queensland"
"70",70,"Algester","Queensland"
"71",71,"Calamvale - Stretton","Queensland"
"72",72,"Pallara - Willawong","Queensland"
"73",73,"Parkinson - Drewvale","Queensland"
"74",74,"Rocklea - Acacia Ridge","Queensland"
"75",75,"Kuraby","Queensland"
"76",76,"Runcorn","Queensland"
"77",77,"Sunnybank","Queensland"
"78",78,"Sunnybank Hills","Queensland"
"79",79,"Jindalee - Mount Ommaney","Queensland"
"80",80,"Middle Park - Jamboree Heights","Queensland"
"81",81,"Riverhills","Queensland"
"82",82,"Seventeen Mile Rocks - Sinnamon Park","Queensland"
"83",83,"Westlake","Queensland"
"84",84,"Bellbowrie - Moggill","Queensland"
"85",85,"Brookfield - Kenmore Hills","Queensland"
"86",86,"Chapel Hill","Queensland"
"87",87,"Fig Tree Pocket","Queensland"
"88",88,"Kenmore","Queensland"
"89",89,"Pinjarra Hills - Pullenvale","Queensland"
"90",90,"Chelmer - Graceville","Queensland"
"91",91,"Corinda","Queensland"
"92",92,"Indooroopilly","Queensland"
"93",93,"Sherwood","Queensland"
"94",94,"St Lucia","Queensland"
"95",95,"Taringa","Queensland"
"96",96,"Enoggera","Queensland"
"97",97,"Keperra","Queensland"
"98",98,"Mitchelton","Queensland"
"99",99,"The Gap","Queensland"
"100",100,"Upper Kedron - Ferny Grove","Queensland"
"101",101,"Brisbane City","Queensland"
"102",102,"Fortitude Valley","Queensland"
"103",103,"Highgate Hill","Queensland"
"104",104,"Kangaroo Point","Queensland"
"105",105,"New Farm","Queensland"
"106",106,"South Brisbane","Queensland"
"107",107,"Spring Hill","Queensland"
"108",108,"West End","Queensland"
"109",109,"Balmoral","Queensland"
"110",110,"Bulimba","Queensland"
"111",111,"East Brisbane","Queensland"
"112",112,"Hawthorne","Queensland"
"113",113,"Morningside - Seven Hills","Queensland"
"114",114,"Norman Park","Queensland"
"115",115,"Albion","Queensland"
"116",116,"Alderley","Queensland"
"117",117,"Ascot","Queensland"
"118",118,"Clayfield","Queensland"
"119",119,"Grange","Queensland"
"120",120,"Hamilton (Qld)","Queensland"
"121",121,"Hendra","Queensland"
"122",122,"Kelvin Grove - Herston","Queensland"
"123",123,"Newmarket","Queensland"
"124",124,"Newstead - Bowen Hills","Queensland"
"125",125,"Wilston","Queensland"
"126",126,"Windsor","Queensland"
"127",127,"Wooloowin - Lutwyche","Queensland"
"128",128,"Ashgrove","Queensland"
"129",129,"Auchenflower","Queensland"
